idsup,namasup,Kode,alamat,kota,telp,create_at,author,edit-at,edit_by
,"SATRIA GRAHA SEMPURNA, PT",SGS,"DESA KEBOHARAN KM.27, KEBOHARAN, SIDOARJO",SIDOARJO,031-8971975,1/26/2023 15:24,Admin,,
,SATRIA PIRANTI PERKASA,SPP,"Kawasan Industri MM2100, Jl. Selayar No.1, Mekarwangi, Kec. Cikarang Bar., Bekasi, Jawa Barat 17530",BEKASI,(021) 50116028,1/26/2023 15:24,Admin,,
,SENTRA BAHANA EKATAMA,SBE,JL RAYA MANUKAN KV 10N N0 96 - 98,SURABAYA,,1/26/2023 15:24,Admin,,
,SETIA MAKMUR,SM,,SURABAYA,,1/26/2023 15:24,Admin,,
,"SINAN BENANG JAHIT, PT",SB,"NGORO INDUSTRI PERSADA BLOK J-15, NGORO, KAB. MOJOKERTO",MOJOKERTO,,1/26/2023 15:24,Admin,,
,SINAR GUNUNG MAS,SGM,"DESA SIDOKEPUNG, JL INDUSTRI NO.110, BUDURAN, SIDOARJO",SIDOARJO,031-8950902,1/26/2023 15:24,Admin,,
,SINAR SUMINOE INDONESIA,SWP31814-00,JL. INDUSTRI II NO. 20 CIMAHI,JAWA BARAT,+62-6034518,1/26/2023 15:24,Admin,,
,SINAR SUMINOE INDONESIA,SSI,JL. INDUSTRI II NO 20 CIMAHI,JAWA BARAT,+62-6034518,1/26/2023 15:24,Admin,,
,"SPARK WORLD INDUSTRIAL CO.,LT.",SW,"7F, NO.92, SEC.5, HSIN-HAI ROAD, TAIPEI TAIWAN R.O.C.",,0286638689,1/26/2023 15:24,Admin,,
,SUARA MAS,SRM,JL. GENTENG BESAR NO 51,SURABAYA,,1/26/2023 15:24,Admin,,
,SUMBER REJEKI WONODADI,SRW,"JL. TARUNA WAGE, SRITANJUNG, TAMAN",SIDOARJO,,1/26/2023 15:24,Admin,,
,SUPLLIER,S01,,,,1/26/2023 15:24,Admin,,
,"SUPRACOR SEJAHTERA, PT",SPS,"JL. RAYA PUNGGING , DS. SUNGGING, KEC. PUNGGING, KAB. MOJOKERTO 61384",MOJOKERTO,0321-6817377,1/26/2023 15:24,Admin,,
,SURYA MAS,SMAS,LEBAK INDAH NO. 43,SURABAYA,,1/26/2023 15:24,Admin,,
,SURYA SATWIKA,SS,JLN EMBONG MALANG 71G,SURABAYA,(031)5342172 / 5313939,1/26/2023 15:24,Admin,,
,TAHU TECH,TT,,SIDOARJO,,1/26/2023 15:24,Admin,,
,TANGGA MAS JAYA MAKMUR,TMM,DESA GADUNG RT 01 RW 01  DRIYOREJO GRESIK  JAWA TIMUR,GRESIK,031-7532760,1/26/2023 15:24,Admin,,
,TEGUH BATERAI ENERGI,TB,"Address : Jl. Kedung Doro No.18, Sawahan, Kec. Sawahan, Kota SBY, Jawa Timur 60251, Indonesia  Coordinate : -7.259406, 112.732342",SBY,"Telp. : 031-5313901, 5323518,",1/26/2023 15:24,Admin,,
,"TIANJIN GOLDEN MAPLE DEVELOPMENT CO..,LTD.",TGMD,,,,1/26/2023 15:24,Admin,,
,TOKO BENANG GEMBLONGAN,TBG,JL. GEMBLONGAN,SURABAYA,,1/26/2023 15:24,Admin,,
,TOKO SAHABAT ELECTRIC,TSE,JLN RAYA DUKUH KUPANG KAV 800 SURABAYA,SURABAYA,03415670396,1/26/2023 15:24,Admin,,
,TONDIRAYA,TR,,SURABAYA,,1/26/2023 15:24,Admin,,
,TOYOTA BUSHOKU INDONESIA,TBI,,BEKASI,,1/26/2023 15:24,Admin,,
,TOYOTA TSUSHO INDONESIA,TTI,Cibitung Branch  Gedung Toyota Tsusho Logistic Center Kawasan Industri MM 2100 JL. Irian Block KK-8 Cikarang Barat-Cibitung 17520 Bekasi,,(021) 8998 2801 [Phone],1/26/2023 15:24,Admin,,
,"TRI PUTRA KARMITA,PT",TPK,"DSN TENGAH RT004 RW 002, SUMBERREJO",TUBAN,,1/26/2023 15:24,Admin,,
,TRIDAYA MAJU BERSAMA,TMB,PERUM ROYAL ORCHID BLOK C-01 DS.URANGAGUNG KEC. SIDOARJO KAB. SIDOARJO.,SIDOARJO,,1/26/2023 15:24,Admin,,
,TRIJAYA SUKSES SEJAHTERA,TSS,JL. KAYU MANIS II BLOK F 10 NO 15C CIKARANG,BEKASI,,1/26/2023 15:24,Admin,,
,"TRIYUDHA PERKASA, PT",TP,"DESA BRINGINBENDO KM.19, BRINGINBENDO, SIDOARJO",SIDOARJO,031-7874933,1/26/2023 15:24,Admin,,
,UNIKARGO INDOTAMA TIMUR,UIT,"SEMUT SQUARE, SEMUT BARU BLOK B-10 NO 65 RT 012 RW 010",SURABAYA,031-99093788,1/26/2023 15:24,Admin,,
,WANG XIAO QIONG,WXQ,"2605 ROOM 12# BUILDING HUALIAN ROAD PINGDONG CHENG, GULOU DISTRICT","FUZHOU, CHINA",13067371929,1/26/2023 15:24,Admin,,
,YUANSA ABADI LESTARI,YAL,"JLN CIHERANG SAWAH NO 79 RT3 RW9.   CIHERANG DRAMAGA, BOGOR 16680 - JAWA BARAT  0251-8624258, 8622789 FAX 0251-8622789",BOGOR,0251-8624258,1/26/2023 15:24,Admin,,
,YUNIKA,YNKA,KEDUNGDORO 66 F,SURABAYA,,1/26/2023 15:24,Admin,,
,"YUNIKO PLASTIC INDONESIA, PT",YK,"JL. TROPODO I/125, SIDOARJO",SIDOARJO,031-8689442-3,1/26/2023 15:24,Admin,,
,"YUNINDO PLASTIC ENGINEERING, PT",YUN,"JL. TROPODO II NO. 90  TROPODO, SIDOARJO",SIDOARJO,031-8671633,1/26/2023 15:24,Admin,,
,YUTAKA TRANS FABIO,YTF,"DR CIPTO MANGUNKUSUMO RUKO CORTES B023 NO. 002, JABABEKA",CIKARANG UTARA-BEKASI,021-89326712,1/26/2023 15:24,Admin,,
